SQL> /

OWNER                          TABLE_NAME                     PRIVILEGE                                                 
------------------------------ ------------------------------ ----------------------------------------                  
IFRDBA2                        DEPENDENCIAS                   SELECT                                                    
IFRDBA2                        MUNICIPIOS                     SELECT                                                    
IFRDBA2                        PAISES                         SELECT                                                    
IFRDBA2                        SEG_SISTEMA                    SELECT                                                    
IFRDBA2                        UNIDADES_ORGANIZACIONAIS       SELECT                                                    
IFRSRH                         AUTORIZACOES_TRATAMENTOS_ODONT SELECT                                                    
IFRSRH                         BENEFICIARIOS                  SELECT                                                    
IFRSRH                         BENEFICIOS                     SELECT                                                    
IFRSRH                         CADASTROS                      SELECT                                                    
IFRSRH                         CARGOS                         SELECT                                                    
IFRSRH                         CARGOS_CONFIANCA               SELECT                                                    
IFRSRH                         CORPO_CLINICO                  SELECT                                                    
IFRSRH                         CORPO_CLINICO_ESPECIALIDADES   SELECT                                                    
IFRSRH                         CREDENCIADOS                   SELECT                                                    
IFRSRH                         CREDENCIADOS_BENEFICIOS        SELECT                                                    
IFRSRH                         CREDENCIADOS_CONTRATOS         SELECT                                                    
IFRSRH                         CREDENCIADOS_DEPENDENCIAS      SELECT                                                    
IFRSRH                         CREDENCIADOS_ESPECIALIDADES    SELECT                                                    
IFRSRH                         EMPREGADOS_BENEFICIOS          SELECT                                                    
IFRSRH                         EMPREGADOS_FORMACOES           SELECT                                                    
IFRSRH                         EMPREGADO_FONE_COMERCIAL       SELECT                                                    
IFRSRH                         EMPREGADO_FONE_COMERCIAL       UPDATE                                                    
IFRSRH                         EMPREGADO_FONE_COMERCIAL       DELETE                                                    
IFRSRH                         EMPREGADO_FONE_COMERCIAL       INSERT                                                    
IFRSRH                         ESCOLARIDADES                  SELECT                                                    
IFRSRH                         ESPECIALIDADES                 SELECT                                                    
IFRSRH                         FORCAS_ARMADAS                 SELECT                                                    
IFRSRH                         FORMACOES_ESPECIALIZADAS       SELECT                                                    
IFRSRH                         FORMACOES_PROFISSIONAIS        SELECT                                                    
IFRSRH                         HORARIOS_TRABALHOS             SELECT                                                    
IFRSRH                         JORNADAS_TRABALHO              SELECT                                                    
IFRSRH                         OCORRENCIAS_EMPREGADOS         SELECT                                                    
IFRSRH                         OCORRENCIAS_RECEB_TICKETS      SELECT                                                    
IFRSRH                         OCORRENCIAS_RECEB_VALES        SELECT                                                    
IFRSRH                         OCUPACOES_CARGO                SELECT                                                    
IFRSRH                         PENSIONISTAS                   SELECT                                                    
IFRSRH                         PESSOAS_VINCULADAS             SELECT                                                    
IFRSRH                         PESSOAS_VINCULADAS_BENEF       SELECT                                                    
IFRSRH                         POSTO_GRADUACAO                SELECT                                                    
IFRSRH                         PROGRAMACOES_FERIAS            SELECT                                                    
IFRSRH                         QUADRO_ARMA_ESPEC              SELECT                                                    
IFRSRH                         REEMBOLSOS                     SELECT                                                    
IFRSRH                         SITUACOES_FUNCIONAIS           SELECT                                                    
IFRSRH                         TIPOS_OCORRENCIAS              SELECT                                                    
IFRSRH                         TIPO_VINCULOS                  SELECT                                                    
IFRSRH                         UOR_FONE_FAX                   DELETE                                                    
IFRSRH                         UOR_FONE_FAX                   INSERT                                                    
IFRSRH                         UOR_FONE_FAX                   SELECT                                                    
IFRSRH                         UOR_FONE_FAX                   UPDATE                                                    
IFRSRH                         VALOR_INCENTIVO                SELECT                                                    
IFRSRH                         VERSAO_OBJETOS                 SELECT                                                    
IFRSRH                         QUADROS_LOTACAO_PESSOAL        SELECT                                                    
IFRDBA2                        CENTRO_CUSTOS                  SELECT                                                    
IFRSRH                         EMPREGADOS                     SELECT                                                    
IFRSRH                         RECUPERA_MATRICULA             EXECUTE                                                   
IFRSRH                         SALDOS_TRATAMENTOS_ODONT       SELECT                                                    
IFRSRH                         AGENDA_MED_ODO                 SELECT                                                    
IFRSRH                         OCORRENCIAS_REEMBOLSOS         SELECT                                                    
IFRSRH                         INFRAWEB                       EXECUTE                                                   
IFRSRH                         FORMWEB05                      EXECUTE                                                   
IFRSRH                         FORMWEB07                      EXECUTE                                                   
IFRSRH                         RECUPERA_END_DEPENDENCIA_HTML  EXECUTE                                                   
IFRSRH                         FRAMEWEB                       EXECUTE                                                   
IFRSRH                         FRAMEWEB05                     EXECUTE                                                   
IFRSRH                         FRAMEWEB10                     EXECUTE                                                   
IFRSRH                         FRAME_PDIN                     EXECUTE                                                   
IFRSRH                         WELCOME                        EXECUTE                                                   
IFRSRH                         WELCOME05                      EXECUTE                                                   
IFRSRH                         WELCOME10                      EXECUTE                                                   
IFRSRH                         CALCULA_DATAS_GOZO_FERIAS      EXECUTE                                                   
IFRSRH                         FORMWEB01                      EXECUTE                                                   
IFRSRH                         FORMWEB02                      EXECUTE                                                   
IFRSRH                         FORMWEB03                      EXECUTE                                                   
IFRSRH                         FORMWEB04                      EXECUTE                                                   
IFRSRH                         INFO_PDIN                      EXECUTE                                                   
IFRSRH                         MENUWEB                        EXECUTE                                                   
IFRSRH                         MENUWEB05                      EXECUTE                                                   
IFRSRH                         MENUWEB10                      EXECUTE                                                   
IFRSRH                         RECUPERA_DEPENDENCIA           EXECUTE                                                   
IFRSRH                         WSGL                           EXECUTE                                                   
IFRSRH                         BENWEB01$                      EXECUTE                                                   
IFRSRH                         BENWEB01$AMO                   EXECUTE                                                   
IFRSRH                         BENWEB01$JS$AMO                EXECUTE                                                   
IFRSRH                         BENWEB02$                      EXECUTE                                                   
IFRSRH                         BENWEB02$JS$STO                EXECUTE                                                   
IFRSRH                         BENWEB02$STO                   EXECUTE                                                   
IFRSRH                         BENWEB05$                      EXECUTE                                                   
IFRSRH                         BENWEB05$JS$ORE                EXECUTE                                                   
IFRSRH                         BENWEB05$ORE                   EXECUTE                                                   
IFRSRH                         BENWEB08$JS$ORT                EXECUTE                                                   
IFRSRH                         BENWEB08$ORT                   EXECUTE                                                   
IFRSRH                         CADWEB01$                      EXECUTE                                                   
IFRSRH                         CADWEB01$EMP                   EXECUTE                                                   
IFRSRH                         CADWEB01$FE                    EXECUTE                                                   
IFRSRH                         CADWEB01$FP                    EXECUTE                                                   
IFRSRH                         CG$ERRORS                      EXECUTE                                                   
IFRSRH                         BENWEB06$                      EXECUTE                                                   
IFRSRH                         CADWEB01$JS$EMP                EXECUTE                                                   
IFRSRH                         CADWEB01$JS$FE                 EXECUTE                                                   
IFRSRH                         CADWEB01$JS$FP                 EXECUTE                                                   
IFRSRH                         CADWEB02$                      EXECUTE                                                   
IFRSRH                         CADWEB02$CADASTROS             EXECUTE                                                   
IFRSRH                         CADWEB02$JS$CADASTROS          EXECUTE                                                   
IFRSRH                         CADWEB03$                      EXECUTE                                                   
IFRSRH                         CADWEB03$CAD                   EXECUTE                                                   
IFRSRH                         CADWEB03$JS$CAD                EXECUTE                                                   
IFRSRH                         CADWEB04$                      EXECUTE                                                   
IFRSRH                         CADWEB04$CADASTROS             EXECUTE                                                   
IFRSRH                         CADWEB04$JS$CADASTROS          EXECUTE                                                   
IFRSRH                         CADWEB04$JS$PENSIONISTAS       EXECUTE                                                   
IFRSRH                         CADWEB04$JS$PV                 EXECUTE                                                   
IFRSRH                         CADWEB04$PENSIONISTAS          EXECUTE                                                   
IFRSRH                         CADWEB04$PV                    EXECUTE                                                   
IFRSRH                         CADWEB05$                      EXECUTE                                                   
IFRSRH                         CADWEB05$JS$VLI                EXECUTE                                                   
IFRSRH                         CADWEB05$VLI                   EXECUTE                                                   
IFRSRH                         CADWEB06$                      EXECUTE                                                   
IFRSRH                         CADWEB06$ADM                   EXECUTE                                                   
IFRSRH                         CADWEB06$JS$ADM                EXECUTE                                                   
IFRSRH                         CADWEB07$                      EXECUTE                                                   
IFRSRH                         CADWEB07$FCO                   EXECUTE                                                   
IFRSRH                         CADWEB07$JS$FCO                EXECUTE                                                   
IFRSRH                         CADWEB08$                      EXECUTE                                                   
IFRSRH                         CADWEB08$FERIAS_PROGRAMADAS    EXECUTE                                                   
IFRSRH                         CADWEB08$JS$FERIAS_PROGRAMADAS EXECUTE                                                   
IFRSRH                         WSGFL                          EXECUTE                                                   
IFRSRH                         WSGJSL                         EXECUTE                                                   
IFRSRH                         WSGLM                          EXECUTE                                                   
IFRSRH                         BENWEB06$EMB                   EXECUTE                                                   
IFRSRH                         BENWEB06$JS$EMB                EXECUTE                                                   
IFRSRH                         BENWEB06$JS$PVB                EXECUTE                                                   
IFRSRH                         BENWEB06$PVB                   EXECUTE                                                   
IFRSRH                         BENWEB07$                      EXECUTE                                                   
IFRSRH                         BENWEB07$JS$ORV                EXECUTE                                                   
IFRSRH                         BENWEB07$ORV                   EXECUTE                                                   
IFRSRH                         BENWEB08$                      EXECUTE                                                   
IFRSRH                         UTIL                           EXECUTE                                                   

137 linhas selecionadas.

SQL> spo off
