SQL> /

OWNER                          TABLE_NAME                     PRIVILEGE                                                 
------------------------------ ------------------------------ ----------------------------------------                  
IFRDBA2                        AGENCIAINF                     SELECT                                                    
IFRDBA2                        BANCOINF                       SELECT                                                    
IFRDBA2                        CENTRO_CUSTO                   SELECT                                                    
IFRDBA2                        CONTA_CONTABIL                 SELECT                                                    
IFRDBA2                        DEPENDENCIAS                   SELECT                                                    
IFRDBA2                        SEG_GRUPO_USUARIO              SELECT                                                    
IFRDBA2                        SEG_GRUPO_USUARIO_MENU         SELECT                                                    
IFRDBA2                        SEG_MENU                       SELECT                                                    
IFRDBA2                        SEG_SISTEMA                    SELECT                                                    
IFRDBA2                        SEG_USUARIO                    SELECT                                                    
IFRDBA2                        SEG_USUARIO_CENTRO_CUSTO       SELECT                                                    
IFRDBA2                        SEG_USUARIO_SISTEMA            SELECT                                                    
IFRDBA2                        UNIDADES_FEDERACAO             SELECT                                                    
IFRDBA2                        UNIDADES_ORGANIZACIONAIS       SELECT                                                    
IFRHUMANUS                     TRN_AREA_CONHECIMENTO          DELETE                                                    
IFRHUMANUS                     TRN_AREA_CONHECIMENTO          INSERT                                                    
IFRHUMANUS                     TRN_AREA_CONHECIMENTO          SELECT                                                    
IFRHUMANUS                     TRN_AREA_CONHECIMENTO          UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_COMENTARIO      DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_COMENTARIO      INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_COMENTARIO      SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_COMENTARIO      UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHADET        DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHADET        INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHADET        SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHADET        UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHAHDR        DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHAHDR        INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHAHDR        SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_FICHAHDR        UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_INDIV           DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_INDIV           INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_INDIV           SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_INDIV           UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_QUESTAO         DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_QUESTAO         INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_QUESTAO         SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_QUESTAO         UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_TABIMP          DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_TABIMP          INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_TABIMP          SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_TABIMP          UPDATE                                                    
IFRHUMANUS                     TRN_AVALREACAO_TPQUESTAO       DELETE                                                    
IFRHUMANUS                     TRN_AVALREACAO_TPQUESTAO       INSERT                                                    
IFRHUMANUS                     TRN_AVALREACAO_TPQUESTAO       SELECT                                                    
IFRHUMANUS                     TRN_AVALREACAO_TPQUESTAO       UPDATE                                                    
IFRHUMANUS                     TRN_BIB_ACERVO                 DELETE                                                    
IFRHUMANUS                     TRN_BIB_ACERVO                 INSERT                                                    
IFRHUMANUS                     TRN_BIB_ACERVO                 SELECT                                                    
IFRHUMANUS                     TRN_BIB_ACERVO                 UPDATE                                                    
IFRHUMANUS                     TRN_BIB_EDITOR                 DELETE                                                    
IFRHUMANUS                     TRN_BIB_EDITOR                 INSERT                                                    
IFRHUMANUS                     TRN_BIB_EDITOR                 SELECT                                                    
IFRHUMANUS                     TRN_BIB_EDITOR                 UPDATE                                                    
IFRHUMANUS                     TRN_CONCEITO                   DELETE                                                    
IFRHUMANUS                     TRN_CONCEITO                   INSERT                                                    
IFRHUMANUS                     TRN_CONCEITO                   SELECT                                                    
IFRHUMANUS                     TRN_CONCEITO                   UPDATE                                                    
IFRHUMANUS                     TRN_CONCEITO_INSTRUTOR_EVENTO  DELETE                                                    
IFRHUMANUS                     TRN_CONCEITO_INSTRUTOR_EVENTO  INSERT                                                    
IFRHUMANUS                     TRN_CONCEITO_INSTRUTOR_EVENTO  SELECT                                                    
IFRHUMANUS                     TRN_CONCEITO_INSTRUTOR_EVENTO  UPDATE                                                    
IFRHUMANUS                     TRN_CONTA_TREINAMENTO          DELETE                                                    
IFRHUMANUS                     TRN_CONTA_TREINAMENTO          INSERT                                                    
IFRHUMANUS                     TRN_CONTA_TREINAMENTO          SELECT                                                    
IFRHUMANUS                     TRN_CONTA_TREINAMENTO          UPDATE                                                    
IFRHUMANUS                     TRN_CURSO                      DELETE                                                    
IFRHUMANUS                     TRN_CURSO                      INSERT                                                    
IFRHUMANUS                     TRN_CURSO                      SELECT                                                    
